,user,item,rate
136,99,2230,5
137,42,330,4
138,120,313,4
139,138,2812,4
140,76,3244,1
141,101,5162,4
142,147,1648,4
143,16,4249,4
144,140,5159,4
145,4,3306,4
146,39,3855,5
147,0,2071,1
148,80,3327,2
149,67,1113,4
150,101,4130,4
151,66,1638,4
152,67,1500,2
153,93,4925,2
154,151,703,5
155,150,2275,3
156,79,735,3
157,121,2234,4
158,93,4931,1
159,145,2202,2
160,149,3844,5
161,134,4998,5
162,147,4872,4
163,88,941,4
164,139,185,4
165,39,3486,4
166,22,233,4
167,41,3410,5
168,50,3185,2
169,116,3744,4
170,65,658,5
171,113,4052,3
172,88,5116,3
173,105,1267,4
174,88,1435,4
175,99,879,3
176,71,4415,3
177,77,4854,4
178,30,27,3
179,136,374,4
180,126,1048,3
181,131,743,5
182,50,1042,4
183,39,101,4
184,92,1382,4
185,61,3312,4
186,108,3010,4
187,62,1671,3
188,38,945,4
189,19,4265,5
190,104,2343,4
191,40,1690,5
192,125,2486,4
193,94,2672,4
194,79,5240,5
195,28,2983,5
196,32,4347,4
197,152,3895,4
198,78,5099,5
199,112,4074,5
200,64,2523,3
201,129,638,4
202,151,1594,4
203,15,1590,4
204,110,3120,3
205,120,717,4
206,89,1453,5
207,34,2960,3
208,88,4378,3
209,54,3269,5
210,145,2446,2
211,128,5069,4
212,8,4021,4
213,98,1748,3
214,17,2081,2
215,136,3831,4
216,89,3810,4
217,75,964,5
218,134,5160,5
219,56,4810,4
220,38,2176,5
221,118,1458,3
222,144,2838,5
223,43,3542,3
224,122,1964,4
225,66,4564,1
226,138,977,4
227,26,1762,4
228,4,608,3
229,51,4543,5
230,87,1133,3
231,82,2149,5
232,100,3357,4
233,10,171,4
234,134,4248,5
235,43,117,3
236,122,810,5
237,43,1749,5
238,40,2264,3
239,88,4284,4
240,96,4989,4
241,114,755,3
242,90,1892,4
243,29,2813,2
244,24,4984,5
245,62,1123,5
246,35,3779,3
247,45,3852,3
248,30,720,4
249,108,1790,4
250,147,2726,4
251,52,3851,1
252,118,505,3
253,19,1862,3
254,76,4556,5
255,53,4524,5
256,42,388,3
257,29,2398,4
258,92,5206,4
259,109,560,5
260,46,899,5
261,59,4865,5
262,136,722,2
263,15,4847,4
264,126,1616,5
265,149,2010,4
266,152,1323,4
267,10,817,2
268,31,2023,4
269,67,1264,3
270,79,797,5
271,109,3889,1
272,75,2227,5
273,62,969,5
274,137,3555,4
275,147,4548,4
276,3,1989,3
277,109,707,1
278,149,2488,4
279,8,4623,4
280,4,2732,3
281,52,4931,3
282,149,48,3
283,86,2220,5
284,92,3665,4
285,75,202,4
286,76,1909,3
287,146,3975,3
288,92,4711,3
289,139,3454,4
290,92,1318,2
291,96,2278,3
292,4,3946,4
293,58,3776,3
294,15,193,3
295,105,3461,2
296,145,2084,5
297,147,4436,3
298,7,4637,3
299,14,2454,4
300,50,71,4
301,64,1179,5
302,59,998,4
303,65,4180,2
304,135,3664,3
305,51,2997,4
306,66,4340,1
307,129,2875,3
308,88,3565,4
309,1,3630,4
310,75,2586,4
311,59,366,4
312,113,1906,4
313,22,264,3
314,93,4659,5
315,142,2011,4
316,4,4228,2
317,39,2818,4
318,7,869,3
319,138,316,4
320,152,4248,5
321,48,677,4
322,99,4077,4
323,67,3465,2
324,99,383,3
325,9,4445,5
326,146,1778,3
327,30,4174,3
328,60,223,4
329,32,3047,5
330,18,1878,4
331,105,3790,3
332,75,2353,4
333,88,1618,4
334,28,623,3
335,118,2781,2
336,10,3019,4
337,31,4643,4
338,8,1511,2
339,2,1784,3
340,99,939,3
341,83,4918,5
342,100,1653,3
343,15,421,3
344,115,2757,4
345,89,521,5
346,44,2688,4
347,106,2645,4
348,128,1081,5
349,40,2744,4
350,10,2214,3
351,20,4439,4
352,1,5127,3
353,144,3830,5
354,147,3800,5
355,56,3730,4
356,128,5132,5
357,0,3137,4
358,94,1284,4
359,78,2639,5
360,92,4647,4
361,92,3514,3
362,39,2076,3
363,14,1035,5
364,19,1800,4
365,88,1752,4
366,15,515,2
367,134,513,5
368,42,3049,4
369,3,2159,4
370,72,187,4
371,76,502,4
372,93,4542,2
373,10,3966,3
374,29,1517,3
375,70,89,4
376,151,3092,4
377,132,5084,3
378,118,3753,1
379,92,2477,4
380,100,5254,2
381,101,1473,5
382,100,4306,1
383,142,3855,5
384,88,4389,2
385,109,5067,5
386,18,4784,3
387,137,507,3
388,31,3118,5
389,112,1982,5
390,61,2995,3
391,90,4438,4
392,28,3140,4
393,34,1892,3
394,56,2417,5
395,81,4379,4
396,56,3221,4
397,99,4942,3
398,18,3335,4
399,76,414,4
400,149,1137,4
401,149,3422,3
402,39,594,2
403,127,1582,2
404,143,958,4
405,31,2239,5
406,63,3870,3
407,104,4507,4
408,103,3759,5
409,25,1156,3
410,1,4233,3
411,75,3561,5
412,127,4500,1
413,86,1509,5
414,34,4630,1
415,99,2705,2
416,89,2600,4
417,16,39,5
418,114,2769,3
419,149,994,4
420,15,3373,4
421,62,174,5
422,152,147,4
423,128,4668,1
424,92,734,3
425,75,551,3
426,22,4307,5
427,44,4801,4
428,114,144,2
429,18,4471,5
430,10,3247,5
431,121,2671,5
432,17,4003,4
433,95,3,1
434,88,560,3
435,91,231,5
436,87,1003,4
437,79,185,4
438,131,2066,4
439,114,431,3
440,48,1801,4
441,39,2383,4
442,63,2761,3
443,83,924,5
444,56,3877,4
445,147,1300,4
446,144,1170,4
447,59,526,4
448,146,1688,4
449,92,2770,5
450,146,4964,3
451,88,2393,4
452,24,2978,1
453,50,185,3
454,102,5011,4
455,42,1217,3
456,16,5182,4
457,27,2534,4
458,147,4906,3
459,88,825,2
460,147,1134,4
461,7,4046,4
462,114,1565,4
463,56,2018,5
464,146,4482,4
465,64,545,4
466,119,659,4
467,39,4627,3
468,75,678,4
469,7,823,5
470,37,4553,4
471,109,1923,3
472,138,1211,4
473,37,4757,4
474,50,5160,4
475,151,3460,4
476,58,4926,4
477,54,1289,5
478,61,255,5
479,2,4688,4
480,42,3054,4
481,132,3042,4
482,119,2358,3
483,2,1906,4
484,86,2813,2
485,81,3816,5
486,37,2653,5
487,54,3091,4
488,22,2193,4
489,50,4935,4
490,31,5152,4
491,102,389,3
492,37,4278,4
493,4,2236,4
494,37,199,5
495,3,1975,2
496,149,491,3
497,16,2182,5
498,36,2123,5
499,92,989,4
500,91,1888,4
501,16,4104,1
502,97,638,5
503,26,3640,4
504,60,622,3
505,83,796,4
506,96,2835,3
507,44,798,4
508,62,3917,4
509,92,2722,4
510,141,2338,5
511,10,3323,4
512,37,2557,5
513,18,5020,4
514,99,3844,5
515,30,2834,4
516,59,2693,3
517,92,453,4
518,42,4669,5
519,92,1538,4
520,41,2511,5
521,26,3346,4
522,70,39,2
523,39,3555,3
524,10,3989,5
525,47,5059,5
526,72,1648,5
527,29,2690,5
528,131,340,3
529,19,3810,4
530,78,3046,3
531,26,5184,4
532,87,3139,3
533,145,5154,5
534,129,3797,4
535,120,4954,4
536,67,1002,4
537,92,4983,3
538,144,3264,2
539,140,2845,4
540,144,3091,3
541,108,3019,4
542,151,3300,4
543,18,4021,4
544,151,1864,3
545,149,4548,5
546,76,2080,2
547,64,3007,4
548,64,4972,4
549,110,659,4
550,116,2209,4
551,88,3570,5
552,89,1632,5
553,56,868,5
554,99,4581,3
555,54,2469,4
556,92,79,3
557,92,4490,3
558,90,807,2
559,59,2234,4
560,122,175,4
561,3,4441,4
562,140,1969,3
563,106,2639,4
564,144,4758,5
565,17,4549,5
566,7,4778,4
567,98,4934,4
568,83,3247,3
569,16,4940,5
570,152,841,4
571,100,2591,4
572,10,4808,4
573,76,4681,1
574,63,2986,3
575,111,4168,5
576,108,4804,4
577,4,252,5
578,88,798,4
579,1,3381,5
580,92,1466,4
581,61,695,2
582,118,891,2
583,34,2651,4
584,151,2544,4
585,128,7,5
586,149,614,4
587,75,4665,4
588,89,298,5
589,30,3910,5
590,114,2315,4
591,10,1367,4
592,64,1224,2
593,7,1919,5
594,114,144,4
595,110,1880,2
596,56,4285,5
597,69,1312,2
598,16,3173,4
599,99,3051,4
600,32,198,5
601,46,3681,5
602,16,416,4
603,108,2227,3
604,123,7,5
605,98,4955,2
606,147,1444,4
607,100,4294,4
608,151,4995,3
609,50,3964,3
610,100,1840,3
611,90,2712,1
612,94,887,4
613,50,258,3
614,4,3223,1
615,88,3531,1
616,142,2828,5
617,78,2218,5
618,147,4277,4
619,28,289,4
620,1,4631,3
621,29,1666,5
622,120,2532,3
623,50,454,2
624,10,4062,5
625,14,747,2
626,77,4838,4
627,146,3300,3
628,4,2939,3
629,38,1293,4
630,59,3010,5
631,135,604,4
632,140,1135,4
633,61,4416,4
634,110,645,4
635,149,4077,4
636,113,1085,4
637,31,3800,5
638,102,2234,4
639,8,3714,5
640,3,3966,4
641,98,5132,4
642,85,4097,5
643,92,4159,4
644,83,3904,3
645,142,3009,5
646,145,228,5
647,52,1523,5
648,80,2568,4
649,143,3357,4
650,88,3099,5
651,31,398,5
652,120,654,5
653,122,4459,4
654,48,1574,2
655,132,869,5
656,23,4551,2
657,67,645,3
658,134,3604,5
659,72,4943,4
660,147,1185,4
661,74,795,5
662,144,4246,5
663,50,3091,4
664,106,3831,3
665,115,4047,2
666,85,2488,4
667,40,4559,5
668,79,331,3
669,15,988,3
670,87,568,4
671,115,991,3
672,11,3810,3
673,50,4861,5
674,69,2383,4
675,102,1989,4
676,20,5020,3
677,40,3322,4
678,88,3754,4
679,147,2343,3
680,9,149,5
681,66,2415,4
682,122,1701,4
683,48,4195,4
684,22,1285,4
685,129,478,4
686,20,251,4
687,34,389,3
688,10,4496,4
689,31,1443,5
690,49,2773,5
691,108,498,4
692,105,155,4
693,115,202,4
694,144,2838,5
695,6,4378,4
696,71,513,4
697,91,3656,5
698,146,1649,4
699,144,1162,4
700,22,712,3
701,119,4525,4
702,64,4275,5
703,2,1842,4
704,105,3272,4
705,10,385,4
706,121,4874,4
707,33,2775,4
708,101,595,5
709,85,659,4
710,20,1528,4
711,58,2224,3
712,50,1370,4
713,78,4512,4
714,56,1766,4
715,50,5158,4
716,83,2754,4
717,103,3699,2
718,108,205,4
719,98,3825,3
720,26,305,5
721,10,4713,2
722,138,659,5
723,152,490,4
724,149,19,3
725,152,3124,5
726,128,3042,4
727,39,4731,4
728,4,2301,4
729,50,2095,3
730,70,1449,4
731,102,3377,3
732,139,1529,3
733,1,3045,2
734,67,1243,5
735,104,4906,4
736,7,1293,3
737,56,4853,4
738,53,2678,2
739,111,582,5
740,52,3455,2
741,100,2145,4
742,3,4917,4
743,110,1480,3
744,104,1351,3
745,10,2763,3
746,92,994,3
747,92,3854,3
748,62,2586,4
749,140,1063,4
750,122,3029,4
751,56,4075,4
752,39,3585,5
753,119,2265,4
754,1,1169,3
755,4,2036,5
756,92,4957,4
757,4,132,3
758,28,1303,4
759,99,3687,3
760,20,3539,4
761,18,813,4
762,42,1414,4
763,0,2912,3
764,50,1847,4
765,90,1379,3
766,43,4459,4
767,47,4202,4
768,6,2951,5
769,42,3667,5
770,87,3895,4
771,96,3224,3
772,143,1132,4
773,14,4105,5
774,106,5110,4
775,22,160,3
776,143,3383,3
777,49,3610,5
778,148,2102,4
779,37,5069,5
780,45,2768,4
781,98,4100,4
782,3,703,5
783,63,4379,5
784,64,4522,5
785,145,2587,3
786,4,2318,4
787,149,962,4
788,3,4585,4
789,96,1237,4
790,117,3851,3
791,8,5222,1
792,9,4961,5
793,3,5069,4
794,9,120,4
795,141,4887,5
796,35,3543,5
797,106,2683,2
798,23,39,5
799,41,1189,5
800,99,3573,4
801,31,3019,5
802,30,5160,3
803,58,4855,4
804,121,3042,3
805,101,4082,5
806,10,4484,4
807,96,4469,4
808,119,3917,3
809,80,3830,5
810,40,3954,4
811,45,3156,5
812,8,196,5
813,118,4325,2
814,50,427,3
815,122,4459,4
816,28,1243,4
817,114,4477,5
818,99,1823,3
819,58,4743,4
820,22,3400,3
821,151,84,4
822,15,4222,4
823,131,3106,4
824,47,530,4
825,79,3638,4
826,106,2723,4
827,16,5070,4
828,18,63,3
829,147,2421,4
830,149,2812,4
831,8,3393,4
832,16,3920,4
833,10,4579,4
834,140,3963,5
835,42,5003,4
836,145,4475,3
837,145,2888,5
838,92,757,3
839,28,2006,3
840,114,733,4
841,148,3824,5
842,10,1539,3
843,10,817,4
844,89,1269,3
845,140,1212,5
846,146,4405,4
847,147,5265,3
848,28,3474,4
849,127,4593,4
850,140,562,5
851,32,3594,4
852,41,21,2
853,70,1891,3
854,71,4320,4
855,149,1025,4
856,92,3814,5
857,31,3173,4
858,87,4921,5
859,143,1542,5
860,78,614,5
861,114,2916,3
862,64,4490,4
863,86,4282,4
864,136,3759,5
865,100,4480,5
866,31,1999,4
867,71,1844,5
868,76,2576,2
869,121,3236,3
870,1,1447,4
871,31,4033,4
872,28,862,4
873,150,1337,4
874,4,3722,5
875,116,1669,2
876,96,1784,5
877,57,3075,5
878,20,1058,2
879,113,2183,4
880,149,4878,3
881,56,131,4
882,32,1087,3
883,35,595,4
884,10,1169,3
885,83,1443,4
886,18,1232,3
887,92,2760,3
888,14,1866,4
889,70,4819,4
890,95,3825,4
891,14,899,5
892,20,3471,4
893,92,51,3
894,39,1252,3
895,50,4321,3
896,137,722,3
897,79,936,5
898,92,1550,4
899,13,4402,2
900,42,270,4
901,40,2163,4
902,89,1675,5
903,109,3877,5
904,56,3647,4
905,79,3634,4
906,133,3664,3
907,121,665,4
908,83,3796,4
909,42,4662,4
910,117,3666,2
911,16,2350,4
912,1,2603,1
913,112,506,5
914,132,3035,5
915,118,2810,3
916,16,4483,1
917,113,1912,4
918,141,844,5
919,50,3789,4
920,80,3820,5
921,10,3010,5
922,151,2174,5
923,42,3997,2
924,134,952,5
925,140,4856,3
926,113,2099,3
927,149,2586,3
928,27,3917,4
929,17,3812,4
930,132,4526,4
931,127,4240,4
932,20,2686,4
933,86,4631,3
934,16,1131,5
935,50,5128,3
936,108,1428,5
937,83,2066,3
938,98,3148,5
939,151,3303,3
940,98,5140,4
941,86,4018,3
942,105,2016,4
943,146,127,5
944,30,4052,2
945,54,5143,4
946,114,4093,3
947,8,4814,4
948,99,1472,5
949,114,2790,2
950,80,1017,5
951,141,3758,5
952,119,714,4
953,63,3749,3
954,96,3198,4
955,88,3765,4
956,93,3930,5
957,91,5039,4
958,81,1903,5
959,31,2194,4
960,116,149,5
961,69,1982,5
962,16,1174,4
963,103,2940,4
964,131,4249,2
965,28,1549,4
966,140,1739,3
967,43,1489,4
968,141,3374,5
969,0,2779,3
970,151,2667,3
971,62,2486,5
972,150,3956,4
973,38,3145,4
974,109,2399,5
975,79,1608,3
976,56,4361,5
977,24,4863,5
978,112,1236,5
979,130,3613,4
980,106,83,4
981,88,2497,4
982,151,3380,3
983,75,9,4
984,3,2778,4
985,42,3122,3
986,83,2470,3
987,39,810,5
988,22,1568,3
989,2,3920,3
990,147,1516,4
991,151,1706,4
992,96,18,5
993,97,50,4
994,39,1137,2
995,11,3884,4
996,151,2535,2
997,130,3717,3
998,64,2071,2
999,63,44,4
1000,90,2386,5
1001,26,2157,4
1002,147,4713,3
1003,79,4021,4
1004,48,2251,4
1005,145,3777,1
1006,42,3929,4
1007,64,526,4
1008,92,3103,3
1009,31,4264,3
1010,58,2359,1
1011,101,4660,4
1012,16,4117,4
1013,104,4487,4
1014,30,39,5
1015,101,1690,4
1016,76,2103,4
1017,151,4804,4
1018,3,1176,4
1019,42,570,3
1020,123,2572,5
1021,114,2974,2
1022,64,1067,3
1023,22,2986,4
1024,14,5080,2
1025,104,5007,4
1026,30,1125,4
1027,43,3149,3
1028,42,463,3
1029,42,808,4
1030,149,3290,3
1031,80,1911,2
1032,75,697,4
1033,88,4894,4
1034,147,1790,4
1035,102,401,4
1036,39,416,4
1037,146,305,4
1038,14,3008,4
1039,8,209,3
1040,64,1264,3
1041,48,1744,3
1042,50,4227,4
1043,109,5170,5
1044,50,4819,3
1045,142,5133,4
1046,149,987,4
1047,44,894,4
1048,114,4609,4
1049,99,2805,3
1050,61,1236,5
1051,56,1449,4
1052,91,209,4
1053,92,1905,4
1054,101,4119,4
1055,109,810,5
1056,42,388,4
1057,144,1599,3
1058,56,1745,5
1059,85,1897,5
1060,57,138,5
1061,109,4802,4
1062,45,3080,5
1063,137,3573,4
1064,56,3453,4
1065,150,3957,3
1066,150,1623,4
1067,39,2651,5
1068,88,2102,3
1069,100,2908,5
1070,86,3913,4
1071,96,624,4
1072,105,4539,5
1073,118,686,4
1074,83,3483,4
1075,87,2370,5
1076,1,2113,4
1077,92,399,4
1078,4,111,4
1079,90,823,5
1080,119,4757,3
1081,93,631,5
1082,53,3046,3
1083,41,3920,5
1084,59,4421,5
1085,117,228,4
1086,149,1355,3
1087,22,143,4
1088,25,3156,4
1089,131,4512,5
1090,146,2097,3
1091,86,4343,3
1092,143,2352,5
1093,39,4374,3
1094,147,2812,5
1095,118,4757,4
1096,149,4970,4
1097,35,3257,5
1098,42,4669,5
1099,1,3759,4
1100,88,1694,4
1101,48,2807,3
1102,109,330,5
1103,28,3529,5
1104,76,4867,5
1105,145,5088,3
1106,85,4063,4
1107,35,328,2
1108,149,3342,4
1109,51,305,4
1110,46,3215,5
1111,105,4617,5
1112,10,4022,5
1113,131,5088,5
1114,106,3522,3
1115,58,2874,4
1116,42,4290,4
1117,77,5045,5
1118,71,5233,5
1119,149,2323,3
1120,35,1000,4
1121,113,1284,3
1122,99,1227,5
1123,101,3847,4
1124,88,1567,5
1125,147,228,3
1126,150,3189,2
1127,151,4083,4
1128,39,2498,2
1129,62,3342,4
1130,30,3225,4
1131,92,975,5
1132,86,1852,4
1133,108,3080,5
1134,146,5164,4
1135,10,1070,4
1136,126,3359,4
1137,93,4415,3
1138,57,3879,4
1139,93,1144,4
1140,116,943,4
1141,147,5152,5
1142,83,5231,3
1143,76,4746,3
1144,75,1663,4
1145,44,3075,5
1146,74,1373,2
1147,48,4823,4
1148,2,1170,3
1149,104,496,4
1150,66,3606,4
1151,120,3734,4
1152,128,2227,4
1153,91,2422,5
1154,61,3051,5
1155,89,3108,4
1156,50,5182,4
1157,92,4157,2
1158,86,1042,4
1159,92,1165,5
1160,149,4214,4
1161,122,3106,5
1162,48,4518,5
1163,122,1937,3
1164,18,1089,4
1165,50,4294,3
1166,3,524,4
1167,83,3645,3
1168,82,3737,5
1169,56,133,5
1170,142,4022,5
1171,62,3924,4
1172,22,5030,3
1173,31,4835,4
1174,35,548,4
1175,79,4505,5
1176,57,2813,3
1177,146,4660,4
1178,144,1188,5
1179,78,753,3
1180,106,3620,2
1181,114,4597,4
1182,1,1907,3
1183,100,5145,4
1184,145,5165,3
1185,4,4796,4
1186,103,1525,3
1187,30,1424,4
1188,129,2509,3
1189,101,1877,4
1190,76,4530,5
1191,22,4306,5
1192,111,5132,4
1193,13,4704,4
1194,2,4533,3
1195,18,2039,4
1196,42,1174,3
1197,39,412,5
1198,15,2890,5
1199,88,4505,4
1200,3,2200,3
1201,100,268,3
1202,51,3089,4
1203,31,846,4
1204,92,1521,3
1205,1,1575,4
1206,101,2116,4
1207,139,5033,4
1208,83,130,4
1209,79,180,3
1210,103,3080,5
1211,32,1532,4
1212,144,5020,5
1213,17,899,5
1214,107,1460,4
1215,56,28,4
1216,98,1965,4
1217,10,5069,3
1218,89,2702,5
1219,35,343,5
1220,81,3018,5
1221,108,374,2
1222,61,4918,5
1223,28,4612,5
1224,137,2194,5
1225,42,2539,5
1226,25,2588,4
1227,92,3487,4
1228,101,350,5
1229,62,4670,5
1230,149,685,5
1231,103,2124,4
1232,96,2733,4
1233,67,3102,4
1234,107,4611,4
1235,39,4296,2
1236,10,1975,4
1237,3,253,4
1238,123,5230,2
1239,71,3526,5
1240,142,1892,4
1241,84,3152,5
1242,149,2844,5
1243,43,71,4
1244,145,1185,4
1245,31,3942,4
1246,22,2125,4
1247,31,389,4
1248,95,850,4
1249,92,1692,4
1250,144,2822,5
1251,42,735,4
1252,88,3928,4
1253,2,2061,5
1254,13,4789,3
1255,54,1653,2
1256,92,3374,5
1257,16,5014,4
1258,89,863,4
1259,22,1843,2
1260,149,1771,5
1261,143,3534,5
1262,42,958,3
1263,10,5249,4
1264,42,5178,4
1265,10,1097,4
1266,10,1907,3
1267,42,989,4
1268,147,2076,4
1269,118,4908,4
1270,67,1354,3
1271,29,5160,5
1272,10,2184,4
1273,115,1392,5
1274,102,2076,4
1275,10,1756,4
1276,13,1867,4
1277,94,2511,4
1278,104,5068,5
1279,2,3147,4
1280,136,1334,4
1281,11,39,4
1282,7,1185,4
1283,114,3133,2
1284,108,471,3
1285,76,4563,4
1286,8,21,3
1287,105,3313,2
1288,125,3236,5
1289,58,1653,3
1290,115,2570,4
1291,31,2215,4
1292,58,4755,4
1293,145,4266,1
1294,56,559,4
1295,142,5124,3
1296,56,1991,5
1297,96,4339,3
1298,4,818,4
1299,65,2432,5
1300,10,5265,3
1301,114,2402,1
1302,52,4542,1
1303,108,994,4
1304,87,2074,4
1305,113,4914,3
1306,1,4768,4
1307,56,1397,4
1308,10,957,4
1309,149,4627,4
1310,42,5056,4
1311,47,2512,3
1312,99,2343,4
1313,17,3986,4
1314,147,812,4
1315,88,4913,5
1316,118,4772,5
1317,42,5252,5
1318,136,710,4
1319,72,1123,4
1320,38,5235,4
1321,86,892,4
1322,2,1139,4
1323,126,2693,5
1324,142,1848,4
1325,144,1429,5
1326,146,2700,5
1327,75,3153,5
1328,92,1450,4
1329,84,3713,4
1330,118,4488,5
1331,100,3009,4
1332,101,1083,5
1333,109,3626,5
1334,88,3778,4
1335,54,1895,5
1336,20,1585,3
1337,35,2264,4
1338,114,5044,2
1339,86,2220,5
1340,19,4701,3
1341,49,1968,5
1342,69,5110,5
1343,43,4547,5
1344,56,442,3
1345,96,674,4
1346,98,3777,4
1347,56,189,4
1348,109,32,5
1349,80,245,5
1350,76,513,4
1351,12,3010,5
1352,56,2041,5
1353,151,3717,4
1354,105,636,4
1355,32,1643,3
1356,126,560,4
1357,43,4470,4
1358,48,606,4
1359,125,2999,3
1360,35,4191,3
1361,140,3641,4
1362,101,4493,4
1363,22,4027,5
1364,17,390,4
1365,113,4021,5
1366,10,907,1
1367,13,2040,3
1368,104,2726,5
1369,138,1496,2
1370,149,406,3
1371,141,2160,5
1372,149,4722,4
1373,142,4845,4
1374,42,2458,3
1375,56,1732,5
1376,93,2651,4
1377,56,3532,4
1378,42,3532,3
1379,7,2645,5
1380,1,879,4
1381,76,834,3
1382,40,4035,4
1383,35,4660,4
1384,92,4941,3
1385,109,810,5
1386,133,4130,5
1387,83,4275,4
1388,88,4624,4
1389,140,2023,5
1390,16,2144,5
1391,56,3638,4
1392,128,1569,5
1393,10,1754,4
1394,122,5255,5
1395,113,2982,4
1396,43,3463,5
1397,61,1257,2
1398,93,4545,3
1399,135,2691,3
1400,126,2612,3
1401,64,3899,4
1402,44,2800,5
1403,103,1824,4
1404,147,2109,3
1405,108,2173,5
1406,3,5138,2
1407,92,3409,5
1408,130,1556,3
1409,35,5148,4
1410,36,1401,5
1411,76,2712,4
1412,118,4668,4
1413,28,197,4
1414,147,2770,4
1415,131,3794,4
1416,70,2393,4
1417,49,3075,3
1418,17,1037,5
1419,37,3537,5
1420,119,590,3
1421,122,2926,4
1422,119,4193,4
1423,90,1468,1
1424,77,1313,5
1425,98,2234,3
1426,67,4799,3
1427,14,4647,4
1428,50,2605,4
1429,7,2651,3
1430,75,3010,4
1431,8,544,5
1432,102,3355,4
1433,56,3884,5
1434,56,1882,3
1435,99,199,3
1436,144,3810,2
1437,88,1695,3
1438,146,2163,4
1439,149,2045,4
1440,139,1282,4
1441,66,1507,3
1442,42,3616,4
1443,94,2033,3
1444,66,4875,4
1445,37,4198,4
1446,114,5134,4
1447,8,2813,4
1448,112,1625,5
1449,100,4628,4
1450,47,2342,4
1451,149,4829,5
1452,71,652,5
1453,94,2561,4
1454,28,1361,5
1455,15,1239,4
1456,75,4043,1
1457,99,1825,4
1458,122,3435,4
1459,147,3012,4
1460,148,2773,5
1461,142,4872,4
1462,93,3315,5
1463,10,4364,5
1464,48,3202,3
1465,93,4221,5
1466,129,4852,4
1467,88,833,3
1468,44,4824,4
1469,87,1958,2
1470,50,5089,3
1471,147,3840,3
1472,50,2931,3
1473,100,698,1
1474,35,1622,3
1475,148,1004,4
1476,147,2560,4
1477,88,2299,4
1478,56,3268,5
1479,38,1017,3
1480,146,5177,4
1481,64,4584,3
1482,147,4466,3
1483,4,4837,5
1484,92,1561,5
1485,111,4641,2
1486,104,2684,5
1487,109,1457,4
1488,145,3630,4
1489,121,5190,4
1490,114,3336,4
1491,88,1991,5
1492,92,4867,4
1493,15,938,4
1494,109,5137,5
1495,104,84,4
1496,139,5233,4
1497,116,3682,3
1498,87,5143,4
1499,149,4100,5
1500,92,4055,4
1501,60,847,5
1502,6,3132,5
1503,3,1994,3
1504,114,264,3
1505,83,1634,5
1506,121,3834,4
1507,1,810,5
1508,50,4246,4
1509,91,4124,4
1510,69,869,4
1511,92,2644,3
1512,99,2023,4
1513,1,330,5
1514,79,1725,3
1515,10,784,3
1516,142,2658,3
1517,92,1064,4
1518,59,435,3
1519,4,1555,4
1520,77,1491,5
1521,147,1740,2
1522,145,3941,1
1523,109,3920,4
1524,17,306,4
1525,1,283,3
1526,56,3850,4
1527,99,2844,3
1528,28,2528,4
