,0,1,2
51,52@344,"[[1468, 1]]",4.0
52,16@377,"[[106, 1], [864, 1], [655, 1], [615, 1], [520, 1]]",4.5
53,57@1304,"[[190, 1], [465, 1], [573, 1], [1386, 1]]",4.0
54,43@884,"[[421, 1], [365, 1], [1006, 1], [421, 1], [1219, 1], [131, 1], [892, 1]]",2.0
55,57@1124,"[[635, 1]]",4.0
56,2@1654,"[[1462, 1]]",4.0
57,54@1688,"[[501, 1], [56, 1], [1026, 1], [684, 1]]",5.0
58,16@2305,"[[336, 1]]",3.0
59,62@2510,"[[1425, 1], [755, 1]]",4.0
60,52@1906,"[[1385, 1], [506, 1], [1386, 1], [1542, 1], [892, 1]]",4.0
61,16@2797,"[[900, 1], [807, 1], [1080, 1]]",4.0
62,54@2223,"[[430, 1], [1533, 1], [1190, 1]]",4.0
63,32@711,"[[190, 1]]",3.0
64,11@1410,"[[1144, 1], [309, 1], [864, 1]]",4.0
65,62@1856,"[[1460, 1]]",3.0
66,30@960,"[[190, 1], [190, 1], [1298, 1]]",4.0
67,16@2566,"[[9, 1], [1251, 1], [538, 1], [39, 1]]",5.0
68,54@413,"[[791, 1], [821, 1]]",4.0
69,54@1050,"[[1266, 1], [1055, 1], [230, 1], [538, 1], [230, 1]]",3.0
70,61@1632,"[[493, 1], [1100, 1], [889, 1]]",4.0
71,61@1601,"[[746, 1], [345, 1], [127, 1]]",5.0
72,0@2239,"[[631, 1], [661, 1]]",5.0
73,11@830,"[[514, 1], [1143, 1], [173, 1]]",4.0
74,54@837,"[[366, 1], [1112, 1], [1535, 1], [190, 1], [421, 1], [436, 1], [851, 1], [675, 1], [435, 1], [1029, 1], [1218, 1], [573, 1], [970, 1]]",3.0
75,37@1781,"[[573, 1]]",5.0
76,41@189,"[[692, 1], [276, 1], [98, 1], [51, 1], [851, 1], [1453, 1], [1019, 1], [1220, 1], [1048, 1], [1266, 1]]",4.0
77,37@2261,"[[56, 1], [735, 1], [892, 1], [106, 1], [190, 1]]",5.0
78,51@1773,"[[755, 1], [309, 1], [477, 1]]",3.0
79,57@20,"[[106, 1], [432, 1], [692, 1], [807, 1], [501, 1], [1168, 1], [1093, 1], [42, 1], [892, 1]]",5.0
80,37@305,"[[938, 1], [173, 1]]",1.0
81,57@757,"[[170, 1], [967, 1], [746, 1]]",4.0
82,16@2810,"[[1417, 1]]",3.0
83,61@377,"[[1386, 1], [889, 1], [1464, 1]]",5.0
84,62@166,"[[1093, 1], [1386, 1], [935, 1]]",3.0
85,41@1310,"[[1205, 1], [668, 1]]",4.0
86,20@127,"[[421, 1], [1514, 1]]",3.0
87,57@1396,"[[1005, 1], [795, 1], [809, 1], [1386, 1], [892, 1], [1246, 1]]",4.0
88,41@775,"[[432, 1]]",4.0
89,52@1297,"[[1495, 1], [550, 1], [131, 1]]",5.0
90,61@1435,"[[190, 1], [1086, 1], [1187, 1]]",5.0
91,30@1957,"[[506, 1], [1093, 1]]",5.0
92,20@2771,"[[1093, 1]]",4.0
93,16@235,"[[1445, 1]]",5.0
94,53@562,"[[900, 1], [305, 1], [309, 1], [173, 1]]",5.0
95,37@455,"[[557, 1], [1486, 1]]",3.0
96,37@2555,"[[542, 1], [1542, 1]]",5.0
97,37@95,"[[573, 1], [558, 1]]",4.0
98,20@2315,"[[209, 1], [1416, 1]]",4.0
99,32@2255,"[[532, 1], [131, 1]]",3.0
100,52@135,"[[610, 1], [795, 1]]",3.0
101,41@1079,"[[190, 1], [334, 1], [442, 1]]",4.0
102,22@2041,"[[131, 1], [960, 1], [1168, 1], [1250, 1]]",3.0
103,26@189,"[[1285, 1]]",4.0
104,54@378,"[[1009, 1], [190, 1], [851, 1], [1062, 1], [735, 1], [1367, 1], [1266, 1], [262, 1]]",4.0
105,0@1348,"[[429, 1], [851, 1], [1286, 1], [376, 1], [1445, 1], [376, 1]]",4.0
106,14@2083,"[[1352, 1], [175, 1], [60, 1]]",2.0
107,16@2723,"[[98, 1], [131, 1], [967, 1]]",4.0
108,32@915,"[[692, 1], [1009, 1], [782, 1], [1026, 1], [868, 1], [735, 1], [1026, 1]]",5.0
109,15@2106,"[[1296, 1]]",5.0
110,7@2332,"[[1240, 1], [851, 1], [173, 1], [449, 1], [869, 1]]",4.0
111,41@265,"[[206, 1]]",3.0
112,61@1313,"[[94, 1], [1422, 1]]",4.0
113,61@1118,"[[190, 1], [851, 1], [1286, 1], [232, 1]]",3.0
114,41@976,"[[692, 1], [131, 1], [50, 1]]",4.0
115,20@2347,"[[96, 1], [892, 1]]",4.0
116,41@1009,"[[1307, 1], [131, 1], [735, 1], [815, 1], [538, 1]]",4.0
117,37@1930,"[[501, 1], [182, 1]]",3.5
118,61@193,"[[1093, 1], [60, 1], [1010, 1], [190, 1]]",2.0
119,61@2036,"[[1382, 1], [1270, 1], [421, 1], [468, 1]]",4.0
120,0@977,"[[1042, 1], [1125, 1]]",5.0
121,11@2687,"[[1484, 1]]",1.0
122,46@2544,"[[71, 1]]",5.0
123,29@1427,"[[506, 1], [1141, 1], [1093, 1], [321, 1], [815, 1]]",4.0
124,52@2026,"[[806, 1]]",5.0
125,0@1061,"[[190, 1], [1100, 1], [1386, 1], [142, 1], [735, 1], [379, 1], [190, 1]]",5.0
126,11@2277,"[[827, 1], [441, 1]]",4.0
127,37@941,"[[140, 1]]",4.0
128,46@1819,"[[190, 1], [614, 1], [718, 1]]",4.0
129,16@618,"[[130, 1], [892, 1]]",5.0
130,37@1230,"[[692, 1]]",4.0
131,0@69,"[[101, 1], [614, 1], [131, 1]]",4.0
132,51@432,"[[555, 1], [399, 1], [360, 1], [25, 1], [232, 1]]",5.0
133,53@2602,"[[51, 1], [1060, 1], [131, 1], [892, 1]]",4.0
134,51@1315,"[[1379, 1], [1422, 1]]",4.0
135,37@70,"[[892, 1]]",4.0
136,41@561,"[[544, 1], [471, 1]]",3.0
137,61@2211,"[[692, 1], [1086, 1], [997, 1], [809, 1], [135, 1], [280, 1], [1120, 1], [441, 1], [503, 1], [809, 1], [1386, 1]]",3.0
138,61@1328,"[[771, 1], [1315, 1]]",4.0
139,53@2598,"[[892, 1], [1131, 1]]",3.0
140,60@1307,"[[101, 1], [542, 1], [1136, 1], [746, 1], [1048, 1]]",4.0
141,48@122,"[[71, 1]]",4.0
142,52@105,"[[889, 1]]",4.0
143,15@1732,"[[573, 1], [17, 1]]",2.0
144,29@590,"[[1093, 1]]",4.0
145,20@1429,"[[1425, 1]]",5.0
146,36@2006,"[[1333, 1], [413, 1], [440, 1], [435, 1], [295, 1], [912, 1], [131, 1], [684, 1]]",3.0
147,36@819,"[[131, 1]]",2.0
148,49@2587,"[[809, 1], [595, 1], [209, 1], [615, 1], [538, 1]]",5.0
149,52@693,"[[190, 1], [94, 1]]",5.0
150,41@1386,"[[1093, 1], [746, 1], [82, 1], [273, 1]]",4.0
151,57@1589,"[[1236, 1], [681, 1], [1462, 1]]",4.0
152,43@724,"[[51, 1], [345, 1], [1422, 1]]",5.0
153,29@1822,"[[421, 1], [12, 1], [435, 1]]",4.0
154,14@1891,"[[692, 1], [755, 1], [892, 1], [692, 1]]",4.0
155,57@2114,"[[583, 1], [402, 1], [94, 1], [565, 1]]",4.0
156,37@2360,"[[468, 1], [321, 1]]",4.0
157,29@1389,"[[692, 1]]",5.0
158,36@2627,"[[99, 1], [755, 1], [1213, 1], [435, 1], [970, 1]]",4.0
159,15@256,"[[1422, 1]]",4.0
160,11@2087,"[[1131, 1], [54, 1], [1540, 1], [751, 1]]",4.0
161,41@574,"[[692, 1], [506, 1], [365, 1], [1422, 1]]",4.0
162,58@1224,"[[404, 1], [131, 1], [615, 1], [481, 1]]",4.0
163,14@2722,"[[1009, 1], [478, 1], [421, 1], [1060, 1], [1386, 1], [345, 1]]",4.0
164,48@284,"[[692, 1], [501, 1], [173, 1], [1377, 1]]",3.0
165,37@217,"[[190, 1], [1513, 1], [106, 1]]",4.0
166,60@1230,"[[1266, 1], [506, 1], [235, 1], [230, 1]]",4.0
167,27@2586,"[[807, 1], [435, 1]]",5.0
168,22@1382,"[[557, 1], [1437, 1], [1461, 1]]",3.0
169,22@48,"[[657, 1], [385, 1]]",4.0
170,30@1355,"[[131, 1]]",3.0
171,60@1741,"[[1266, 1], [655, 1], [370, 1], [615, 1], [1237, 1], [827, 1]]",3.0
172,46@881,"[[230, 1], [715, 1], [1048, 1], [892, 1], [1279, 1]]",4.0
173,43@1467,"[[1382, 1], [749, 1], [1386, 1]]",3.0
174,61@389,"[[557, 1], [533, 1]]",3.0
175,41@1835,"[[190, 1]]",2.0
176,37@2418,"[[421, 1], [1168, 1], [938, 1]]",3.0
177,46@2129,"[[106, 1], [101, 1], [655, 1], [71, 1], [615, 1], [1055, 1], [892, 1]]",3.0
178,11@496,"[[1240, 1]]",1.0
179,53@842,"[[1093, 1], [935, 1], [892, 1]]",4.0
180,27@2328,"[[190, 1], [375, 1], [413, 1], [443, 1]]",4.0
181,43@871,"[[851, 1], [405, 1], [1372, 1], [232, 1], [815, 1], [538, 1]]",4.0
182,36@817,"[[573, 1], [94, 1], [1468, 1]]",3.0
183,41@2792,"[[807, 1], [892, 1], [82, 1]]",4.0
184,29@66,"[[1382, 1], [1254, 1], [581, 1], [595, 1], [1006, 1], [1246, 1], [736, 1]]",3.0
185,60@824,"[[1425, 1], [131, 1], [72, 1], [181, 1], [1048, 1]]",5.0
186,58@1597,"[[755, 1], [967, 1], [173, 1], [755, 1]]",1.0
187,57@637,"[[1180, 1], [152, 1], [230, 1], [161, 1], [1445, 1], [615, 1]]",4.0
188,36@1299,"[[953, 1], [42, 1], [280, 1], [1089, 1]]",3.0
189,22@1054,"[[468, 1]]",5.0
190,58@503,"[[468, 1], [755, 1], [967, 1], [405, 1], [864, 1]]",4.0
191,37@2762,"[[900, 1], [755, 1]]",3.0
192,46@24,"[[1238, 1], [219, 1], [538, 1]]",4.0
193,61@73,"[[1461, 1], [190, 1], [542, 1], [1552, 1]]",4.0
194,20@1052,"[[755, 1], [1379, 1], [892, 1]]",4.0
195,10@709,"[[94, 1], [1229, 1], [1386, 1], [732, 1], [435, 1], [561, 1]]",4.0
196,14@1041,"[[1086, 1], [755, 1]]",4.0
197,46@421,"[[1001, 1], [356, 1], [124, 1]]",4.0
198,11@1290,"[[432, 1]]",3.0
199,62@1106,"[[501, 1], [1093, 1], [892, 1], [538, 1], [309, 1]]",5.0
200,54@1085,"[[46, 1]]",4.0
201,11@2654,"[[1048, 1]]",5.0
202,51@1718,"[[30, 1], [19, 1], [1480, 1], [506, 1], [309, 1], [847, 1], [538, 1], [755, 1]]",5.0
203,31@1008,"[[374, 1], [334, 1], [443, 1], [24, 1], [1437, 1], [538, 1], [173, 1]]",4.0
204,37@1821,"[[413, 1], [42, 1]]",4.5
205,31@489,"[[1144, 1]]",3.0
206,52@77,"[[98, 1], [51, 1], [736, 1], [851, 1], [131, 1], [749, 1], [1093, 1], [435, 1], [1048, 1], [892, 1]]",5.0
207,10@1679,"[[692, 1], [855, 1], [432, 1]]",5.0
208,57@1460,"[[106, 1], [692, 1], [131, 1], [1278, 1], [815, 1], [543, 1], [1482, 1], [892, 1]]",4.0
209,32@1979,"[[84, 1], [435, 1], [935, 1]]",2.0
210,60@281,"[[308, 1]]",4.0
211,54@2421,"[[1219, 1]]",4.0
212,61@1803,"[[798, 1], [1315, 1]]",4.0
213,47@649,"[[1086, 1], [209, 1], [827, 1], [1386, 1]]",4.0
214,14@1597,"[[807, 1], [755, 1], [345, 1]]",2.0
215,46@165,"[[813, 1], [1048, 1], [892, 1]]",4.0
216,14@1030,"[[692, 1], [1320, 1], [807, 1], [131, 1], [468, 1]]",4.0
217,41@2697,"[[153, 1], [1244, 1], [1484, 1], [946, 1]]",5.0
218,4@853,"[[1086, 1], [809, 1], [173, 1], [402, 1], [1048, 1]]",4.0
219,16@2419,"[[131, 1], [1425, 1]]",5.0
220,10@2553,"[[621, 1], [1386, 1], [538, 1]]",5.0
221,5@1340,"[[851, 1], [334, 1], [909, 1]]",2.0
222,2@2037,"[[851, 1]]",4.0
223,11@1292,"[[99, 1]]",4.0
224,58@1382,"[[681, 1]]",3.0
225,27@2776,"[[851, 1], [1488, 1], [641, 1], [875, 1]]",4.0
226,10@2013,"[[586, 1], [586, 1], [586, 1]]",4.0
227,41@1864,"[[190, 1], [462, 1], [413, 1]]",3.0
228,18@448,"[[1109, 1]]",4.0
229,55@2793,"[[1270, 1], [506, 1], [1141, 1], [864, 1], [232, 1]]",5.0
230,58@307,"[[1251, 1], [542, 1], [394, 1], [807, 1], [809, 1], [1144, 1]]",3.0
231,47@1518,"[[421, 1], [644, 1], [573, 1], [309, 1]]",4.0
232,25@2144,"[[435, 1], [286, 1], [781, 1], [834, 1], [1508, 1], [1385, 1], [369, 1]]",3.0
233,12@743,"[[692, 1], [807, 1], [1525, 1], [384, 1], [413, 1]]",3.0
234,12@2748,"[[1385, 1], [1547, 1], [1392, 1], [864, 1], [715, 1], [72, 1], [1385, 1], [715, 1], [1279, 1], [1112, 1], [245, 1], [1547, 1], [46, 1], [1385, 1], [1437, 1]]",5.0
235,23@870,"[[1093, 1], [864, 1], [360, 1]]",3.0
236,25@336,"[[755, 1], [1386, 1], [441, 1]]",4.0
237,37@2138,"[[1240, 1], [892, 1]]",4.0
238,59@2637,"[[1122, 1]]",3.0
239,37@1141,"[[1455, 1], [935, 1]]",4.0
240,54@553,"[[153, 1], [1086, 1], [1312, 1], [1231, 1]]",4.0
241,31@268,"[[71, 1], [1279, 1], [71, 1]]",4.0
242,53@353,"[[421, 1], [615, 1]]",5.0
243,22@516,"[[754, 1]]",3.0
244,54@1161,"[[575, 1], [616, 1], [614, 1], [851, 1], [246, 1], [829, 1], [1392, 1], [889, 1], [1445, 1], [421, 1], [252, 1], [690, 1], [1422, 1]]",4.0
245,52@280,"[[532, 1], [714, 1], [190, 1], [1385, 1], [506, 1], [1408, 1], [195, 1], [1100, 1], [131, 1], [615, 1], [1048, 1], [538, 1], [912, 1], [1501, 1], [849, 1], [1553, 1]]",4.0
246,0@967,"[[421, 1], [1286, 1], [443, 1], [1120, 1]]",3.0
247,11@722,"[[1416, 1], [1495, 1]]",2.0
248,61@1921,"[[190, 1], [555, 1]]",1.0
249,25@1833,"[[346, 1], [1527, 1], [534, 1], [614, 1], [1363, 1], [370, 1], [1026, 1], [1484, 1], [1367, 1], [41, 1], [56, 1], [232, 1], [892, 1]]",3.0
250,25@997,"[[276, 1], [782, 1], [538, 1], [840, 1]]",3.0
251,61@1784,"[[1075, 1], [615, 1], [864, 1]]",3.0
252,57@762,"[[94, 1], [468, 1], [864, 1], [875, 1], [561, 1], [538, 1]]",4.0
253,16@1419,"[[1400, 1], [1328, 1], [384, 1], [1048, 1], [1235, 1], [538, 1]]",5.0
254,48@244,"[[586, 1], [771, 1], [62, 1], [1090, 1], [1437, 1]]",5.0
255,48@690,"[[273, 1], [1324, 1], [1044, 1], [1026, 1]]",5.0
256,29@662,"[[501, 1], [1093, 1]]",4.0
257,59@31,"[[1294, 1]]",4.0
258,16@2093,"[[1382, 1], [506, 1], [1386, 1], [1048, 1]]",4.0
259,59@201,"[[1196, 1], [131, 1]]",2.0
260,7@1599,"[[1026, 1], [435, 1], [1160, 1], [889, 1]]",2.0
261,29@2749,"[[71, 1]]",4.0
262,53@1027,"[[106, 1], [1218, 1]]",5.0
263,29@837,"[[106, 1], [908, 1], [1026, 1], [1441, 1], [467, 1], [280, 1], [1273, 1], [441, 1], [538, 1], [538, 1]]",4.0
264,36@358,"[[1193, 1], [1540, 1], [1090, 1]]",5.0
265,10@779,"[[99, 1], [1278, 1]]",4.0
266,33@435,"[[722, 1], [1086, 1], [101, 1], [679, 1], [1399, 1], [851, 1], [468, 1], [888, 1], [1093, 1], [321, 1], [892, 1], [1445, 1]]",5.0
267,20@706,"[[655, 1], [131, 1], [1422, 1], [892, 1]]",2.0
268,60@2235,"[[322, 1]]",4.0
269,15@2089,"[[875, 1], [1131, 1]]",5.0
270,55@2259,"[[692, 1]]",4.0
271,41@628,"[[755, 1]]",3.0
272,47@288,"[[468, 1], [1386, 1]]",4.0
273,33@830,"[[1382, 1], [94, 1], [632, 1]]",5.0
274,41@2385,"[[506, 1], [1513, 1], [1542, 1]]",4.0
275,46@2778,"[[1437, 1]]",3.0
276,25@723,"[[234, 1], [1462, 1]]",5.0
277,59@2534,"[[892, 1]]",4.0
278,22@2371,"[[68, 1], [812, 1], [47, 1], [864, 1]]",5.0
279,26@106,"[[94, 1], [1445, 1]]",2.0
280,59@1579,"[[385, 1], [1462, 1]]",5.0
281,10@1687,"[[816, 1], [892, 1]]",4.0
282,25@2018,"[[1549, 1], [1131, 1], [435, 1], [697, 1]]",3.0
283,57@575,"[[1286, 1], [413, 1], [360, 1], [735, 1], [1445, 1], [190, 1]]",4.0
284,7@72,"[[1386, 1]]",5.0
285,10@957,"[[97, 1]]",4.0
286,10@472,"[[1221, 1], [704, 1], [935, 1]]",5.0
287,16@2400,"[[964, 1], [51, 1], [131, 1], [684, 1], [964, 1]]",3.0
288,4@1875,"[[773, 1], [1136, 1], [1168, 1], [939, 1]]",3.0
289,21@1677,"[[1342, 1], [635, 1], [892, 1], [1342, 1], [1026, 1]]",3.0
290,33@1627,"[[850, 1]]",3.0
291,23@390,"[[1284, 1], [755, 1]]",3.0
292,10@1136,"[[1386, 1]]",3.0
293,41@2797,"[[1284, 1], [755, 1], [1422, 1], [1398, 1]]",3.0
294,52@2785,"[[809, 1], [468, 1], [309, 1], [1103, 1], [280, 1]]",4.0
295,48@1230,"[[621, 1], [892, 1]]",5.0
296,62@859,"[[1339, 1], [421, 1], [922, 1], [1097, 1], [1086, 1], [573, 1], [922, 1], [131, 1]]",3.0
297,61@2619,"[[334, 1]]",4.0
298,16@2215,"[[1240, 1], [1385, 1], [851, 1], [782, 1], [131, 1], [892, 1], [538, 1], [406, 1]]",4.0
299,41@2685,"[[892, 1]]",4.0
300,19@1719,"[[501, 1], [1016, 1], [452, 1]]",4.0
301,59@1735,"[[1240, 1], [851, 1], [1249, 1], [913, 1], [892, 1], [131, 1], [892, 1]]",4.0
302,57@936,"[[276, 1], [56, 1], [573, 1], [468, 1], [1097, 1], [635, 1]]",4.0
303,47@1994,"[[46, 1], [506, 1], [728, 1], [592, 1], [1278, 1], [538, 1], [1397, 1], [903, 1]]",3.0
304,49@1149,"[[935, 1]]",2.0
305,33@2352,"[[1009, 1], [1168, 1], [615, 1], [1053, 1], [1533, 1], [1097, 1], [755, 1]]",5.0
306,3@854,"[[471, 1]]",5.0
307,11@79,"[[365, 1], [935, 1], [321, 1], [441, 1]]",5.0
308,29@2329,"[[692, 1], [106, 1], [173, 1], [892, 1]]",3.0
309,48@1214,"[[557, 1], [614, 1], [1286, 1], [435, 1], [1242, 1], [892, 1]]",4.0
310,43@515,"[[1382, 1], [399, 1]]",5.0
311,10@2493,"[[755, 1]]",4.0
312,28@2426,"[[1385, 1], [581, 1], [686, 1]]",5.0
313,4@355,"[[56, 1], [851, 1], [782, 1], [1048, 1], [334, 1], [1048, 1], [322, 1], [232, 1]]",3.5
314,61@704,"[[106, 1], [892, 1]]",3.0
315,37@835,"[[807, 1]]",3.0
316,33@301,"[[1386, 1], [1279, 1]]",5.0
317,16@950,"[[1240, 1], [356, 1], [131, 1], [440, 1], [892, 1], [1218, 1], [1437, 1]]",4.0
318,48@1747,"[[1425, 1], [1093, 1], [1521, 1]]",5.0
319,51@1601,"[[1547, 1], [135, 1], [615, 1]]",3.0
320,29@78,"[[692, 1], [313, 1]]",4.0
321,37@408,"[[56, 1], [708, 1], [618, 1], [131, 1], [190, 1], [444, 1], [735, 1]]",3.5
322,3@1654,"[[12, 1], [1462, 1]]",4.0
323,58@923,"[[692, 1]]",4.0
324,59@1075,"[[131, 1], [1131, 1], [935, 1]]",5.0
325,16@1945,"[[459, 1], [246, 1]]",5.0
326,40@389,"[[1461, 1], [505, 1]]",4.0
327,33@2124,"[[692, 1], [274, 1], [98, 1], [1547, 1], [1243, 1], [864, 1]]",4.0
328,19@2792,"[[501, 1], [1093, 1], [892, 1]]",4.0
329,14@2225,"[[506, 1], [1100, 1]]",3.0
330,4@327,"[[1240, 1], [421, 1], [1360, 1], [614, 1], [1328, 1], [468, 1], [182, 1], [1048, 1], [766, 1], [892, 1], [936, 1], [254, 1], [912, 1], [131, 1]]",2.0
331,6@1939,"[[1521, 1]]",5.0
332,23@1006,"[[892, 1], [718, 1]]",4.0
333,36@1165,"[[468, 1], [1366, 1], [131, 1]]",4.0
334,33@807,"[[1086, 1], [94, 1], [206, 1], [1532, 1]]",4.0
335,4@1439,"[[435, 1], [1422, 1], [441, 1]]",3.0
336,14@1885,"[[809, 1], [726, 1]]",5.0
337,62@1504,"[[1540, 1], [755, 1], [420, 1]]",4.0
338,27@2473,"[[506, 1]]",2.0
339,59@1716,"[[1437, 1], [573, 1]]",4.0
340,33@15,"[[388, 1], [190, 1], [1086, 1], [618, 1], [435, 1], [1515, 1], [1421, 1]]",3.0
341,43@2618,"[[807, 1], [1386, 1], [935, 1], [41, 1], [321, 1], [1373, 1], [1184, 1]]",4.0
342,12@1076,"[[67, 1], [851, 1], [941, 1], [181, 1], [72, 1], [992, 1], [71, 1], [573, 1]]",5.0
343,36@1882,"[[807, 1], [492, 1], [94, 1], [538, 1], [492, 1]]",3.0
344,10@2661,"[[131, 1]]",4.0
345,37@193,"[[1437, 1], [190, 1], [1461, 1], [1026, 1]]",3.0
346,10@2083,"[[1352, 1], [1461, 1], [775, 1], [138, 1], [1259, 1]]",4.0
347,14@640,"[[1495, 1]]",5.0
348,46@2794,"[[1086, 1], [94, 1], [309, 1], [1462, 1]]",4.0
349,61@2578,"[[1270, 1], [190, 1], [618, 1], [993, 1]]",4.0
350,29@851,"[[237, 1]]",4.0
351,28@839,"[[190, 1], [60, 1]]",4.0
352,36@2037,"[[51, 1], [1465, 1], [1153, 1], [962, 1], [1380, 1]]",4.0
353,30@1062,"[[1060, 1], [974, 1], [131, 1]]",3.0
354,2@1641,"[[131, 1], [445, 1]]",3.0
355,30@45,"[[506, 1], [573, 1], [506, 1], [755, 1]]",4.0
356,25@1805,"[[1386, 1], [889, 1]]",3.0
357,52@2624,"[[771, 1], [1553, 1]]",4.0
358,29@424,"[[131, 1], [1392, 1], [795, 1]]",4.0
359,12@2311,"[[914, 1], [1227, 1], [120, 1], [441, 1]]",4.0
360,36@1034,"[[131, 1], [469, 1]]",3.0
361,15@2108,"[[214, 1]]",5.0
362,3@2799,"[[112, 1], [506, 1], [818, 1], [972, 1], [506, 1]]",5.0
363,29@1602,"[[542, 1], [380, 1], [718, 1]]",4.0
364,37@416,"[[1060, 1]]",3.0
365,33@1992,"[[441, 1], [813, 1], [1540, 1], [176, 1], [1542, 1], [441, 1], [435, 1], [176, 1]]",5.0
366,49@1350,"[[94, 1]]",1.0
367,32@688,"[[1495, 1], [435, 1], [700, 1], [1495, 1]]",1.0
368,16@1309,"[[1086, 1], [51, 1], [334, 1], [1422, 1], [360, 1]]",5.0
369,37@2607,"[[692, 1]]",5.0
370,37@1515,"[[501, 1], [967, 1], [864, 1]]",4.0
371,14@1529,"[[542, 1], [1547, 1]]",4.0
372,37@2465,"[[806, 1], [356, 1]]",5.0
373,62@2312,"[[1386, 1], [435, 1], [892, 1], [615, 1]]",4.0
374,29@2670,"[[1026, 1], [892, 1]]",4.0
375,33@1428,"[[106, 1], [615, 1], [1437, 1], [538, 1]]",4.0
376,62@2319,"[[1461, 1]]",5.0
377,41@2777,"[[432, 1], [692, 1], [807, 1], [1532, 1], [692, 1], [190, 1], [36, 1], [206, 1]]",5.0
378,12@1457,"[[1501, 1], [538, 1]]",5.0
379,55@663,"[[429, 1], [614, 1], [1060, 1], [131, 1], [271, 1], [468, 1], [413, 1], [888, 1]]",4.0
380,21@295,"[[573, 1], [1416, 1]]",4.0
381,4@275,"[[356, 1], [809, 1], [615, 1], [615, 1]]",2.5
382,41@376,"[[370, 1]]",5.0
383,59@1751,"[[501, 1]]",4.0
384,29@1374,"[[98, 1], [506, 1], [830, 1], [692, 1]]",3.0
385,1@464,"[[655, 1], [42, 1]]",4.0
386,36@2139,"[[681, 1]]",4.0
387,57@2237,"[[1540, 1], [1131, 1], [435, 1], [1131, 1]]",5.0
388,60@260,"[[1042, 1], [615, 1], [199, 1]]",5.0
