,0,1,2
176,25@1410,"[[131, 1], [94, 1], [1452, 1], [732, 1], [435, 1], [1168, 1], [432, 1], [289, 1], [131, 1], [544, 1]]",4.0
177,18@854,"[[1383, 1], [471, 1]]",4.0
178,41@1357,"[[12, 1], [586, 1]]",3.0
179,37@349,"[[94, 1], [561, 1], [176, 1], [755, 1]]",3.5
180,10@433,"[[61, 1], [1278, 1]]",5.0
181,12@1479,"[[542, 1], [131, 1], [1144, 1], [1513, 1]]",4.0
182,37@1351,"[[42, 1]]",4.0
183,0@1653,"[[807, 1], [795, 1]]",2.0
184,57@1534,"[[557, 1], [522, 1]]",4.0
185,54@1301,"[[839, 1], [1385, 1], [851, 1], [360, 1], [668, 1], [181, 1], [660, 1], [321, 1], [1437, 1], [1385, 1], [397, 1], [1159, 1]]",4.0
186,43@2029,"[[168, 1], [51, 1], [112, 1], [892, 1]]",5.0
187,59@2530,"[[1484, 1], [868, 1], [426, 1]]",5.0
188,52@2385,"[[1382, 1], [1086, 1], [190, 1], [506, 1], [542, 1], [413, 1], [889, 1], [815, 1], [538, 1]]",4.0
189,37@738,"[[42, 1]]",4.0
190,60@377,"[[755, 1], [892, 1], [421, 1]]",3.0
191,17@2605,"[[935, 1]]",2.0
192,10@2002,"[[655, 1], [78, 1], [615, 1], [1557, 1], [173, 1]]",4.0
193,12@2748,"[[126, 1], [168, 1], [892, 1]]",4.0
194,35@1584,"[[1386, 1]]",5.0
195,57@225,"[[875, 1], [280, 1]]",4.0
196,41@925,"[[935, 1], [94, 1]]",4.0
197,47@1807,"[[94, 1], [935, 1], [1149, 1], [561, 1], [41, 1], [176, 1], [1089, 1], [98, 1], [356, 1], [1251, 1], [535, 1], [344, 1], [538, 1], [815, 1]]",4.0
198,61@1739,"[[900, 1], [615, 1], [892, 1]]",5.0
199,28@997,"[[1106, 1], [106, 1], [812, 1], [1203, 1], [1386, 1], [173, 1]]",5.0
200,6@2361,"[[783, 1], [937, 1]]",2.0
201,46@1091,"[[432, 1]]",5.0
202,19@909,"[[106, 1], [692, 1], [1411, 1], [1286, 1], [321, 1], [1078, 1]]",4.0
203,26@1073,"[[76, 1], [399, 1], [1445, 1], [51, 1], [51, 1]]",4.5
204,16@734,"[[98, 1], [542, 1]]",4.0
205,16@959,"[[1554, 1]]",5.0
206,61@1161,"[[614, 1], [851, 1], [1286, 1], [413, 1], [1553, 1]]",3.0
207,33@1278,"[[383, 1]]",4.0
208,55@2542,"[[827, 1], [1089, 1]]",4.0
209,16@2688,"[[176, 1]]",1.0
210,55@2015,"[[692, 1], [421, 1], [892, 1], [131, 1], [421, 1], [621, 1], [888, 1], [131, 1]]",2.0
211,33@1990,"[[190, 1], [51, 1], [804, 1], [6, 1]]",2.0
212,42@1411,"[[1303, 1]]",4.0
213,10@1848,"[[557, 1], [131, 1], [561, 1], [718, 1], [173, 1]]",3.0
214,33@256,"[[98, 1], [501, 1], [851, 1], [615, 1], [892, 1], [407, 1]]",4.0
215,55@997,"[[106, 1], [573, 1], [538, 1], [344, 1]]",2.0
216,37@2395,"[[1093, 1]]",4.0
217,1@1954,"[[573, 1], [935, 1]]",3.0
218,13@2328,"[[1009, 1], [190, 1], [404, 1], [851, 1], [892, 1], [194, 1]]",4.0
219,41@2759,"[[807, 1], [1168, 1], [1279, 1], [432, 1], [1520, 1], [807, 1], [1532, 1], [441, 1], [477, 1], [309, 1]]",5.0
220,37@264,"[[1382, 1], [421, 1], [892, 1]]",4.0
221,12@2248,"[[586, 1]]",5.0
222,29@146,"[[935, 1]]",3.0
223,41@5,"[[309, 1], [1279, 1]]",4.0
224,61@2612,"[[432, 1], [98, 1], [1044, 1], [851, 1], [1100, 1], [182, 1], [405, 1], [230, 1], [1386, 1], [778, 1], [279, 1], [503, 1]]",4.0
225,0@1822,"[[1106, 1], [851, 1], [1445, 1]]",4.0
226,37@841,"[[692, 1], [190, 1]]",3.0
227,61@772,"[[1553, 1], [586, 1]]",3.0
228,37@2291,"[[421, 1], [755, 1], [1404, 1], [1422, 1], [892, 1], [815, 1], [861, 1]]",4.0
229,2@417,"[[935, 1]]",5.0
230,55@1574,"[[131, 1], [1060, 1], [161, 1]]",4.0
231,41@2674,"[[1542, 1]]",5.0
232,55@2127,"[[421, 1], [51, 1], [304, 1]]",4.0
233,27@809,"[[131, 1], [1017, 1], [1397, 1]]",5.0
234,0@165,"[[9, 1], [864, 1]]",4.0
235,60@2063,"[[1397, 1], [542, 1], [1139, 1]]",3.0
236,16@2386,"[[131, 1], [280, 1], [892, 1]]",5.0
237,59@1544,"[[795, 1], [506, 1], [1093, 1]]",5.0
238,26@839,"[[1352, 1]]",4.0
239,37@2545,"[[935, 1], [206, 1], [1198, 1]]",4.33333333333
240,51@1023,"[[964, 1], [440, 1], [360, 1], [993, 1], [440, 1]]",4.0
241,27@857,"[[621, 1], [864, 1], [935, 1]]",5.0
242,1@2252,"[[399, 1]]",3.0
243,41@2488,"[[925, 1]]",4.0
244,59@2697,"[[1315, 1], [1007, 1]]",4.0
245,4@1746,"[[99, 1], [195, 1], [131, 1], [20, 1], [892, 1], [1442, 1], [1220, 1], [173, 1], [321, 1], [538, 1]]",5.0
246,57@140,"[[875, 1], [173, 1], [254, 1]]",4.0
247,59@1000,"[[692, 1], [827, 1], [892, 1]]",4.0
248,25@2049,"[[655, 1], [1266, 1], [809, 1], [615, 1], [834, 1], [615, 1]]",3.0
249,29@61,"[[1416, 1], [1415, 1], [1362, 1]]",5.0
250,55@49,"[[1009, 1], [190, 1], [1141, 1], [399, 1], [574, 1]]",4.0
251,53@2472,"[[935, 1]]",5.0
252,29@1425,"[[413, 1], [1445, 1]]",4.0
253,8@2244,"[[1174, 1], [851, 1], [195, 1], [1102, 1], [1026, 1], [43, 1], [405, 1], [435, 1], [892, 1], [538, 1], [1475, 1], [538, 1]]",1.0
254,11@1649,"[[573, 1]]",4.0
255,30@1447,"[[435, 1]]",4.0
256,1@1913,"[[614, 1], [296, 1], [615, 1], [573, 1]]",4.0
257,39@643,"[[47, 1], [935, 1], [471, 1]]",4.0
258,42@1166,"[[1548, 1]]",2.0
259,37@355,"[[1240, 1], [532, 1], [190, 1], [435, 1], [173, 1], [892, 1], [443, 1], [131, 1], [892, 1], [232, 1], [875, 1], [538, 1]]",3.0
260,46@858,"[[1219, 1], [1553, 1]]",4.0
261,61@2715,"[[1408, 1], [851, 1]]",2.0
262,61@950,"[[1240, 1], [1201, 1], [190, 1], [131, 1], [468, 1], [405, 1], [538, 1], [259, 1]]",2.0
263,16@1085,"[[506, 1], [755, 1], [38, 1]]",2.0
264,4@342,"[[1047, 1], [1553, 1]]",3.0
265,11@884,"[[815, 1], [1086, 1]]",3.0
266,47@2370,"[[1002, 1]]",5.0
267,41@432,"[[429, 1], [555, 1], [1445, 1]]",4.0
268,25@827,"[[755, 1], [391, 1], [441, 1], [421, 1], [173, 1]]",4.0
269,28@2420,"[[969, 1], [614, 1], [1386, 1], [969, 1], [573, 1], [1120, 1]]",3.0
270,13@1428,"[[1399, 1]]",5.0
271,11@931,"[[506, 1], [99, 1]]",4.0
272,29@2543,"[[414, 1], [309, 1]]",4.0
273,34@2076,"[[892, 1], [590, 1]]",4.0
274,48@1317,"[[13, 1], [190, 1]]",4.0
275,12@2011,"[[131, 1], [615, 1], [1533, 1], [280, 1]]",4.0
276,29@600,"[[176, 1]]",4.0
277,10@2184,"[[565, 1], [1382, 1], [1484, 1]]",4.5
278,50@2733,"[[964, 1], [421, 1], [51, 1], [851, 1], [573, 1], [304, 1], [1313, 1], [360, 1], [470, 1], [912, 1], [362, 1]]",4.0
279,14@55,"[[131, 1], [615, 1], [538, 1]]",4.0
280,42@480,"[[1026, 1]]",2.0
281,33@2742,"[[1221, 1], [1386, 1], [420, 1], [176, 1], [420, 1]]",4.0
282,43@83,"[[98, 1], [131, 1], [864, 1]]",4.0
283,12@346,"[[173, 1], [538, 1], [1142, 1]]",4.0
284,14@2282,"[[738, 1], [1014, 1], [804, 1], [1462, 1], [681, 1]]",4.0
285,37@1591,"[[101, 1]]",4.0
286,14@1861,"[[164, 1], [1513, 1], [54, 1]]",5.0
287,31@1644,"[[1462, 1], [763, 1]]",4.0
288,37@502,"[[692, 1], [889, 1]]",5.0
289,61@2571,"[[468, 1], [1026, 1], [435, 1], [1445, 1], [614, 1], [544, 1], [1286, 1], [538, 1], [9, 1]]",5.0
290,12@2332,"[[1385, 1], [421, 1], [1102, 1], [574, 1], [1361, 1], [1445, 1], [1102, 1]]",2.0
291,59@1617,"[[1026, 1], [1048, 1], [892, 1]]",3.0
292,36@1820,"[[9, 1]]",3.0
293,33@1783,"[[583, 1], [935, 1], [435, 1], [176, 1], [1485, 1], [441, 1]]",5.0
294,33@708,"[[53, 1], [1442, 1], [421, 1], [1205, 1], [542, 1], [615, 1], [864, 1], [173, 1], [176, 1]]",3.0
295,33@2020,"[[98, 1], [573, 1], [47, 1], [704, 1], [864, 1], [955, 1], [1235, 1], [667, 1], [1147, 1], [519, 1]]",5.0
296,0@1893,"[[413, 1], [1380, 1]]",4.0
297,52@646,"[[932, 1], [615, 1], [1422, 1]]",4.0
298,13@2699,"[[1386, 1]]",5.0
299,14@1850,"[[435, 1], [538, 1]]",3.0
300,44@765,"[[106, 1], [1542, 1], [892, 1], [640, 1]]",5.0
301,4@235,"[[1382, 1], [665, 1], [413, 1], [1126, 1]]",4.5
302,33@2408,"[[614, 1], [404, 1], [1476, 1], [875, 1], [435, 1], [1048, 1], [1007, 1], [892, 1], [1445, 1], [232, 1], [538, 1]]",3.5
303,12@2555,"[[30, 1], [900, 1], [161, 1], [432, 1], [997, 1], [1266, 1], [1547, 1], [490, 1], [135, 1], [230, 1], [406, 1], [161, 1], [615, 1], [1279, 1]]",4.5
304,54@780,"[[692, 1], [1370, 1], [724, 1], [668, 1], [181, 1], [190, 1]]",4.0
305,61@2409,"[[1382, 1], [190, 1], [1060, 1], [621, 1], [131, 1], [115, 1], [1441, 1], [993, 1]]",3.0
306,50@853,"[[809, 1], [542, 1], [851, 1], [974, 1], [1466, 1], [1168, 1], [1445, 1]]",3.0
307,29@1131,"[[1427, 1], [1514, 1], [490, 1], [728, 1], [238, 1], [319, 1]]",4.0
308,18@1159,"[[1383, 1]]",4.0
309,43@1188,"[[1060, 1], [94, 1], [718, 1], [892, 1]]",3.0
310,61@2655,"[[190, 1], [511, 1]]",4.0
311,25@2669,"[[1130, 1], [94, 1], [1549, 1], [1445, 1]]",3.0
312,55@1627,"[[106, 1], [892, 1], [912, 1], [1035, 1]]",4.0
313,2@1382,"[[660, 1], [129, 1]]",4.0
314,12@45,"[[1093, 1], [815, 1]]",4.0
315,7@2624,"[[334, 1]]",4.0
316,37@2464,"[[892, 1], [892, 1]]",3.0
317,59@1849,"[[557, 1], [63, 1]]",3.0
318,0@781,"[[1100, 1], [131, 1], [232, 1], [1036, 1]]",4.0
319,59@2759,"[[807, 1], [1513, 1], [477, 1]]",4.0
320,54@1798,"[[1240, 1], [1382, 1], [1385, 1], [86, 1], [851, 1], [313, 1], [413, 1], [365, 1], [405, 1], [1437, 1], [976, 1], [190, 1], [311, 1], [614, 1], [465, 1], [544, 1], [256, 1], [441, 1], [1266, 1], [1076, 1], [1208, 1]]",4.0
321,21@59,"[[935, 1], [1416, 1], [1416, 1]]",4.0
322,37@2248,"[[681, 1], [586, 1], [685, 1]]",5.0
323,55@251,"[[755, 1], [1351, 1], [127, 1]]",4.0
324,0@1096,"[[182, 1], [935, 1]]",4.0
325,63@2618,"[[501, 1]]",5.0
326,2@2190,"[[51, 1], [851, 1]]",5.0
327,29@373,"[[402, 1], [755, 1], [1173, 1], [34, 1], [892, 1], [595, 1], [1244, 1], [751, 1], [732, 1]]",4.0
328,19@1759,"[[839, 1], [1411, 1], [692, 1], [1460, 1]]",4.0
329,61@2665,"[[900, 1], [506, 1]]",4.0
330,31@2638,"[[889, 1], [815, 1]]",3.0
331,41@2357,"[[320, 1], [514, 1], [815, 1]]",5.0
332,12@592,"[[1048, 1], [1160, 1], [621, 1], [1514, 1], [1048, 1], [471, 1]]",4.5
333,25@638,"[[1320, 1], [501, 1], [655, 1]]",3.0
334,22@422,"[[106, 1], [1385, 1], [131, 1], [309, 1], [176, 1]]",4.0
335,31@2613,"[[106, 1], [1385, 1], [1131, 1], [72, 1], [237, 1], [973, 1]]",4.0
336,33@1859,"[[1026, 1], [1093, 1], [435, 1], [892, 1], [1548, 1], [399, 1], [778, 1]]",4.0
337,52@667,"[[1205, 1], [782, 1]]",4.0
338,55@2328,"[[190, 1], [435, 1], [399, 1], [421, 1], [1007, 1]]",3.66666666667
339,16@1082,"[[1382, 1], [851, 1], [1286, 1]]",4.0
340,8@1524,"[[1168, 1], [1048, 1]]",5.0
341,37@2149,"[[988, 1]]",4.0
342,36@1072,"[[42, 1], [1553, 1]]",3.0
343,12@2311,"[[674, 1], [131, 1], [1093, 1], [1130, 1]]",5.0
344,36@1336,"[[443, 1], [435, 1], [892, 1], [280, 1], [538, 1]]",4.0
345,46@708,"[[321, 1], [718, 1]]",4.0
346,7@1748,"[[1026, 1], [935, 1], [72, 1]]",4.0
347,59@948,"[[46, 1], [1048, 1]]",4.0
348,54@2547,"[[51, 1], [614, 1], [962, 1], [718, 1], [846, 1]]",3.0
349,9@10,"[[209, 1], [42, 1], [755, 1]]",2.0
350,10@1064,"[[1385, 1], [1425, 1], [755, 1], [1386, 1], [41, 1]]",4.0
351,33@2208,"[[9, 1], [94, 1], [155, 1], [583, 1], [94, 1]]",4.0
352,59@0,"[[432, 1], [1548, 1], [1555, 1], [1172, 1], [549, 1], [1541, 1], [615, 1]]",3.5
353,53@610,"[[1382, 1], [501, 1], [345, 1], [735, 1]]",4.0
354,1@689,"[[1060, 1], [227, 1]]",3.0
355,46@1103,"[[1240, 1], [421, 1], [98, 1], [51, 1]]",2.0
356,1@520,"[[209, 1], [621, 1]]",5.0
357,41@1439,"[[176, 1]]",5.0
358,10@515,"[[1382, 1]]",5.0
359,23@2070,"[[1042, 1], [615, 1]]",3.0
360,14@2011,"[[1026, 1], [309, 1], [892, 1], [1144, 1]]",2.0
361,36@543,"[[1445, 1], [542, 1]]",4.0
362,37@76,"[[1461, 1], [377, 1]]",2.0
363,14@1582,"[[432, 1], [1548, 1], [851, 1], [309, 1]]",4.0
364,10@1604,"[[1416, 1], [426, 1]]",4.0
365,23@1809,"[[460, 1], [1529, 1], [278, 1], [17, 1]]",4.0
366,59@2336,"[[218, 1]]",3.0
